X1,Colleague,Second Colleague,Source,Year,Authors,Title,Transplant Interaction,Multiple Levels of EcoReality?,Donor Taxon,Donor Taxon Details,Cultured?,Recipient Taxon,Recipient Taxon Details,Eco-Reality Taxon Match,Number of Treatment Groups,Number of Individuals per Group,DNA Extraction Method,Sequencing Approach,Eco-Reality of Donor Microbiome (1-3),Justification/Description for Donor Microbiome,Eco-Reality of Donor Environment (1-5),Justification/Description for Donor Environment,Eco-Reality of Donor Physiology (1-2),Justification/Description for Donor Physiology,Eco-Reality of Recipient Microbiome (1-5),Justification/Description for Recipient Microbiome,Eco-Reality of Recipient Environment (1-5),Justification/Description for Recipient Environment,Eco-Reality of Recipient Physiology (1-2),Justification/Description for Recipient Physiology,Eco-Reality of Transplant Method (1-2),Justification/Description for Transplant Method,Eco-Reality of Housing Method (1-2),Justification/Description for Housing Method,Microbial Response,Microbial Category,Physiological Response,Phys Category,Data Plots,Experiment Synopsis,Second Colleague Differences,X43
Rawls2006,Tim,Will,Web of Science,2006,"Rawls, JF; Mahowald, MA; Ley, RE; Gordon, JI",Reciprocal gut microbiota transplants from zebrafish and mice to germ-free recipients reveal host habitat selection,1,NA,mouse,NA,NA,Zebrafish,NA,Mismatch,2,NS,solvent extraction and mechanical disruption,"The DNA was used in replicate PCRs using Bacteria-specific 16S rRNA gene primers ""Amplicons from replicate PCRs were pooled and cloned prior to sequencing""",3,cecal contents were pooled from three adult CONV-R Swiss-Webster female mice,1,"GF mice belonging to the NMRI inbred strain were housed in plastic gnotobiotic isolators and fed an autoclaved chow diet (B&K Universal) ad libitum (Hooper et al., 2002).",2,CONV-R Swiss-Webster mice were purchased from Taconic Labs,1,Zebrafish were derived as GF,2,GF zebrafish and mice were kept under a 12 hr light cycle and monitored routinely for sterility,2,CONV-R zebrafish belonging to the C32 inbred strain,2,cecal contents were pooled from three adult mice...and added directly to GZM [gnotobiotic zebrafish medium] containing 3dpf GF zebrafish,2,"plastic gnotobiotic isolators ""containing 3dpf GF zebrafish""","Collector’s curves, Chao1 diversity estimates, Simpson’s diversity index, Chao-Jaccard Abundance-based diversity indices; Tree based on pairwise differences between the following bacterial communities",Beta Diversity & Alpha Diversity,gene expression,gene expression,Figure 2,"we performed reciprocal transplantations of these microbiotas into germ-free zebrafish and mouse recipients. The transplanted community resembles its community of origin in terms of the lineages present, but the relative abundance of the lineages changes to resemble the normal gut microbial community composition of the recipient host.",NA,NA
Rawls2006,Tim,Will - same study,Web of Science,2006,"Rawls, JF; Mahowald, MA; Ley, RE; Gordon, JI",Reciprocal gut microbiota transplants from zebrafish and mice to germ-free recipients reveal host habitat selection,2,NA,Zebrafish,NA,NA,mouse,NA,Mismatch,2,not stated,solvent extraction and mechanical disruption,"The DNA was used in replicate PCRs using Bacteria-specific 16S rRNA gene primers ""Amplicons from replicate PCRs were pooled and cloned prior to sequencing""",3,the pooled digestive tract contents of 18 CONV-R adult C32 zebrafish,1,"GF zebrafish were maintained at 28.5 C in plastic gnotobiotic isolators at an average density of 0.3 individuals/ml gnotobiotic zebrafish medium (GZM; Rawls et al., 2004).",2,CONV-R zebrafish belonging to the C32 inbred strain,1,GF mice belonging to the NMRI inbred strain,2,GF zebrafish and mice were kept under a 12 hr light cycle and monitored routinely for sterility,2,CONV-R Swiss-Webster mice,1,"the pooled digestive tract contents...were...introduced, with a single gavage (5 x10^3 CFU/mouse)",1,plastic gnotobiotic isolators,"Collector’s curves, Chao1 diversity estimates, Simpson’s diversity index, Chao-Jaccard Abundance-based diversity indices; Tree based on pairwise differences between the following bacterial communities",Beta Diversity & Alpha Diversity,gene expression,gene expression,Figure 4,"we performed reciprocal transplantations of these microbiotas into germ-free zebrafish and mouse recipients. The transplanted community resembles its community of origin in terms of the lineages present, but the relative abundance of the lineages changes to resemble the normal gut microbial community composition of the recipient host.",NA,NA
Pang2007,Tim,Amy,Web of Science,2007,"Pang, XY; Hua, XG; Yang, Q; Ding, DH; Che, CY; Cui, L; Jia, W; Bucheli, P; Zhao, LP",Inter-species transplantation of gut microbiota from human to pigs,1,NA,human,NA,NA,pig,NA,Mismatch,1,28 (in three replicate trials),"total DNA was extracted as described previously (Wang et al., 1996; Wei et al., 2004)",Enterobacterial repetitive intergenic  consensus sequence-PCR (ERIC-PCR)  fingerprinting,4,Piglets were...inoculated orally with a whole fecal suspension from one healthy 10-year-old boy,1,Experimental piglets were of Meishan origin (native stock of China) and were delivered by cesarean section under germfree conditions.,2,Experimental piglets were of Meishan origin (native stock of China) and were delivered by cesarean section under germfree conditions.,1,germfree piglets,2,"Neonatal piglets, one per cage, were housed in a temperature- and humidity-controlled SPF barrier system.",1,human flora-associated (HFA) piglet model,1,human fecal suspension was administered orally by gavage to the newborn germfree piglets 12 h after their birth,1,"Neonatal piglets, one per cage, were housed in a temperature- and humidity-controlled SPF barrier system.",Cluistering analysis of ERIC-PCR-based community DNA fingerprints,Beta Diversity,Not Specified,NA,NA,A piglets were delivered via cesarean section and inoculated orally with a whole fecal suspension from one healthy 10-year-old boy. The establishment and composition of the intestinal microbiota of piglets were analyzed and compared with that of the human donor using molecular profiling. Transplantation of gut microbiota from a human to germfree piglets produced a donor-like microbial community with minimal individual variation.,NA,NA
Manichanh2010,Tim,Mason,Web of Science,2010,"Manichanh, C; Reeder, J; Gibert, P; Varela, E; Llopis, M; Antolin, M; Guigo, R; Knight, R; Guarner, F",Reshaping the gut microbiome with bacterial transplantation and antibiotic intake,1,NA,rat,NA,NA,rat,NA,Match,2,4,"QIAamp DNA stool mini kit (Qiagen), modified protocol","454 Life Sciences (Roche) Genome Sequencer; ""The V4 hypervariable region of the bacterial 16S gene was amplified by PCR and used to determine the bacterial density and bacterial diversity in each sample""",3,cecal content was pooled in a single sample before administration to the recipients;,1,Each animal was isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals. Cages were changed once a week and also before starting any treatment.,2,"total of 18 conventionally raised rats were included in the study (14 males Lewis, one female, and one male Sprague Dawley, and one female and one male Wistar)",2,"the different treatments (transplantation, antibiotics, transplantation following antibiotics, and controls); ""treated with 50 mg/kg/day of vancomycin and 50 mg/kg/d of imipenem in drinking water during 3 d""",1,Each animal was isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals.,0,Not Specified,1,"Before transplantation, the eight recipient rats were given an oral gavage of omeprazol for 3 d at the concentration of 50 mg/kg/d.",1,Each animalwas isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals,Number of phylotypes (97% sequence similarity); bacterial load per volume of fecal sample,"Alpha Diversity, Cell Counts",Not Specified,NA,Figure 2; Figure 3,"Experimental design. Four groups of rats were used as recipients of different treatments: (C) controls; (A) ATB intake during 3 d; (T) transplantation; (AT) 3-d ATB intake followed by transplantation. The cecal content of four donor rats was pooled and transplanted to a recipient rat once by gavage. Fecal samples of all rats were collected at different time points, day 0 (D0), day 3 (D3), month 1 (M1), and month 3 (M3).",Recipient Phys: 0 -> NS,NA
Manichanh2010,Tim,Mason - same study,Web of Science,2010,"Manichanh, C; Reeder, J; Gibert, P; Varela, E; Llopis, M; Antolin, M; Guigo, R; Knight, R; Guarner, F",Reshaping the gut microbiome with bacterial transplantation and antibiotic intake,1,NA,rat,NA,NA,rat,NA,Match,2,4,"QIAamp DNA stool mini kit (Qiagen), modified protocol","454 Life Sciences (Roche) Genome Sequencer; ""The V4 hypervariable region of the bacterial 16S gene was amplified by PCR and used to determine the bacterial density and bacterial diversity in each sample""",3,cecal content was pooled in a single sample before administration to the recipients;,1,Each animal was isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals. Cages were changed once a week and also before starting any treatment.,2,"total of 18 conventionally raised rats were included in the study (14 males Lewis, one female, and one male Sprague Dawley, and one female and one male Wistar)",3,"the different treatments (transplantation, antibiotics, transplantation following antibiotics, and controls); ""treated with 50 mg/kg/day of vancomycin and 50 mg/kg/d of imipenem in drinking water during 3 d""",1,Each animal was isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals.,0,Not Specified,1,"Before transplantation, the eight recipient rats were given an oral gavage of omeprazol for 3 d at the concentration of 50 mg/kg/d.",1,Each animalwas isolated in a sterilized cage in order to avoid the transmission of microbiota between individuals,Number of phylotypes (97% sequence similarity); bacterial load per volume of fecal sample,"Alpha Diversity, Cell Counts",Not Specified,NA,Figure 2; Figure 3,"Experimental design. Four groups of rats were used as recipients of different treatments: (C) controls; (A) ATB intake during 3 d; (T) transplantation; (AT) 3-d ATB intake followed by transplantation. The cecal content of four donor rats was pooled and transplanted to a recipient rat once by gavage. Fecal samples of all rats were collected at different timepoints, day 0 (D0), day 3 (D3), month 1 (M1), and month 3 (M3).",Recipient Phys: 0 -> NS,NA
Bindels2012,Chris,Karl,Prelim.,2012,"Bindels, et al.",Restoring Specific Lactobacilli Levels DecreasesInflammation and Muscle Atrophy Markers in an AcuteLeukemia Mouse Model,1,Y,mouse,assumed found in mouse but likely lactobacillus species also found in humans - study is for humans,Yes,mouse,mouse,Mismatch,4,8,QIAamp DNA Stool Mini Kit,16S rRNA gene analyses using PCR followed by denaturing gradient gel electrophoresis and qPCR,2,lactobacilli reuteri and Lactobacillus gasseri,NA,strain,NA,strain,3,lab animal (no antibiotics),1,lab animal in assumed sterile lab environment,2,wild type non diseased,2,drinking water,2,mice were housed with two mice per cage,lactobacillus spp levels were restored compared to mice with BaF3,cell count,"whole body weight (no change). blood glucose. liver, spleen, adipose tissue, muscles and cecum content were collected. (no change) tissu mRNA measured. blood plasma triglycerides and cholesterol concentrations, (no change) plasma interleukin-4, monocyte chemoattractant, and granulocyte colony stimulating factor (lactobacillus plus BaF3 mice had lower levels than mice with BaF3). muscle atrophy markers also lower in lactobacillus plus BaF3 mice. PCA of all markers shows difference between control/lactobacillus mice and with BaF3/lactobacillus + BaF3 mice)",gene expression and histological,"3,4,5",mice with model of leukemia were give lactobacillus to see if can be used in therapeutic treatment,NA,NA
Bindels2012,Chris,Karl,Prelim.,2012,"Bindels, et al.",Restoring Specific Lactobacilli Levels DecreasesInflammation and Muscle Atrophy Markers in an AcuteLeukemia Mouse Model,1,Y,mouse,assumed found in mouse but likely lactobacillus species also found in humans - study is for humans,Yes,mouse,mouse,Mismatch,4,7,QIAamp DNA Stool Mini Kit,16S rRNA gene analyses using PCR followed by denaturing gradient gel electrophoresis and qPCR,2,lactobacilli reuteri and Lactobacillus gasseri,NA,strain,NA,strain,3,lab animal (no antibiotics),1,lab animal in assumed sterile lab environment,1,"injected with BaF3 inoculation (transplantation of BaF3
cells containing ectopic expression of Bcr-Ab – mouse model for leukemia)",2,drinking water,2,mice were housed with two mice per cage,lactobacillus spp levels were restored compared to mice with BaF3,cell count,"whole body weight (no change). blood glucose. liver, spleen, adipose tissue, muscles and cecum content were collected. (no change) tissu mRNA measured. blood plasma triglycerides and cholesterol concentrations, (no change) plasma interleukin-4, monocyte chemoattractant, and granulocyte colony stimulating factor (lactobacillus plus BaF3 mice had lower levels than mice with BaF3). muscle atrophy markers also lower in lactobacillus plus BaF3 mice. PCA of all markers shows difference between control/lactobacillus mice and with BaF3/lactobacillus + BaF3 mice)",gene expression and histological,"3,4,5",mice with model of leukemia were give lactobacillus to see if can be used in therapeutic treatment,NA,NA
Bindels2012,Chris,Karl - same study,Prelim.,2012,"Bindels, et al.",Restoring Specific Lactobacilli Levels DecreasesInflammation and Muscle Atrophy Markers in an AcuteLeukemia Mouse Model,2,Y,mouse,assumed found in mouse but likely lactobacillus species also found in humans - study is for humans,Yes,mouse,mouse,Mismatch,4,9,QIAamp DNA Stool Mini Kit,16S rRNA gene analyses using PCR followed by denaturing gradient gel electrophoresis and qPCR,1,lactobacilli acidophilus,NA,strain,NA,strain,3,lab animal (no antibiotics),1,lab animal in assumed sterile lab environment,2,wild type non diseased,2,drinking water,2,mice were housed with two mice per cage,lactobacillus spp levels were restored compared to mice with BaF3,cell count,"blood glucose. liver, spleen, adipose tissue, muscles and cecum content were collected. tissu mRNA measured. blood plasma triglycerides and cholesterol concentrations, plasma interleukin-4, monocyte chemoattractant, and granulocyte colony stimulating factor -no differences",gene expression and histological,S5,mice with model of leukemia were give lactobacillus to see if can be used in therapeutic treatment,NA,NA
Bindels2012,Chris,Karl - same study,Prelim.,2012,"Bindels, et al.",Restoring Specific Lactobacilli Levels DecreasesInflammation and Muscle Atrophy Markers in an AcuteLeukemia Mouse Model,2,Y,mouse,assumed found in mouse but likely lactobacillus species also found in humans - study is for humans,Yes,mouse,mouse,Mismatch,4,9,QIAamp DNA Stool Mini Kit,16S rRNA gene analyses using PCR followed by denaturing gradient gel electrophoresis and qPCR,1,lactobacilli acidophilus,NA,strain,NA,strain,3,lab animal (no antibiotics),1,lab animal in assumed sterile lab environment,1,"injected with BaF3 inoculation (transplantation of BaF3
cells containing ectopic expression of Bcr-Ab – mouse model for leukemia)",2,drinking water,2,mice were housed with two mice per cage,lactobacillus spp levels were restored compared to mice with BaF3,cell count,"blood glucose. liver, spleen, adipose tissue, muscles and cecum content were collected. tissu mRNA measured. blood plasma triglycerides and cholesterol concentrations, plasma interleukin-4, monocyte chemoattractant, and granulocyte colony stimulating factor -no differences",gene expression and histological,S5,mice with model of leukemia were give lactobacillus to see if can be used in therapeutic treatment,NA,NA
Koch2012,Chris,Mason,Prelim.,2012,"Koch, and Schmid-Hempel",Gut microbiota instead of host genotype drive the specificity in the interaction of a natural host-parasite system,1,N,bumblebees,Bombus terrestris,No,bumblebees,Bombus terrestris,Match,2 (control & transplant) for each colony (6 colonies),50,Qiagen DNeasy Blood & Tissue Kit,"Terminal Restriction Fragment Length Polymorphism
(TRFLP) proﬁles,  16S rRNA gene
amplicons and subsequent sequencing of inserts.",3,faeces from other bees – so whole community,3,worker bees from colonies grown in lab (but queens from outside),2,nothing stating that donor bumblebees had a physiological condition,1,"Workers were fed on ﬁlter sterilised sugar water (pore size 0.2 lm)
and gamma-irradiated pollen",1,"worker bees were transferred into single sterile plastic boxes, fed filter sterilised sugar water – but this was to create germ free worker bees so maybe captured elsewhere – otherwise could be considered to be wildlife brought into captivity",1,given c. bombi (parasite),2,fed faeces from other workers (from their own colony or from other colonies),1,emerged workers were transferred into single sterile plastic boxes,faeces from other colonies did change the microbiota community of the host worker bee,beta diversity,C. bombi (parasite) infection load measured). source of microbiota had a great effect on c. bombi infection,immunity,"2,3,4",worker bees with germ free guts were fed faeces from their own colony or other colonies. they were then fed c. bombi. compared c. bombi interactions with the different colonies.,NA,NA
